SpeciesAuthor,lon_dd,lat_dd,damping_ratio
Actaea_elata,-75.55,41.7166666667,2.0774882404
Actaea_elata,-122.0166666667,49.05,3.3276866472
Actaea_spicata,17.6166666667,58.95,1.525870164
Actaea_spicata,17.55,58.9833333333,1.5240304621
Agrimonia_eupatoria,17.1333333333,58.9333333333,1.8790804508
Agrimonia_eupatoria,17.1333333333,58.9333333333,1.654455744
Agropyron_cristatum,-107.8833333333,49.3666666667,2.5983732884
Agropyron_cristatum,-107.8833333333,49.3666666667,1.7059976952
Alliaria_petiolata,-82.1194444444,39.3202777778,1.0225441472
Alliaria_petiolata,-82.1194444444,39.3202777778,1.0252145963
Alliaria_petiolata,-82.1194444444,39.3202777778,1.0290581901
Allium_tricoccum,-75.9166666667,45.5166666667,1.7922213565
Anemone_patens,-114.2344388889,50.8757805556,2.5489464992
Anthyllis_vulneraria,3.5666666667,44.3,2.1833901495
Aquilegia_chrysantha,-106.5559888889,32.326125,2.7812469285
Arabis_fecunda,-114.0186111111,46.2594444444,2.3543502605
Arabis_fecunda,-112.8127777778,45.3980555556,5.2649465072
Arabis_fecunda,-112.8719444444,45.685,4.0966510382
Arisaema_serratum,137.8666666667,36.2333333333,1.300945558
Aristida_bipartita,31.4,-24.6333333333,2.6738999676
Armeria_maritima,5.9333333333,50.7333333333,1.4338368342
Artemisia_genipi,11.0333333333,46.8166666667,1.7355543907
Artemisia_genipi,11.0333333333,46.8166666667,1.4516911216
Aster_amellus,14.1316111111,50.5606944444,7.9579902537
Aster_amellus,14.2299444444,50.528,5.6823626601
Aster_amellus,14.2591666667,50.8628611111,4.0899347817
Aster_amellus,14.31625,50.5006666667,7.4383116883
Aster_amellus,14.3112777778,50.4934444444,6.2120432321
Aster_amellus,14.3066111111,50.4655555556,11.6184629914
Aster_amellus,14.3024166667,50.4961944444,5.4899774569
Aster_amellus,14.2987222222,50.5041944444,4.0002018082
Aster_amellus,14.2974166667,50.5039444444,4.6850700664
Astragalus_michauxii,-79,35.1333333333,2.2747491955
Astragalus_scaphoides,-113.7,45,3.7287286528
Astragalus_scaphoides,-113.0166666667,45.0666666667,2.4314686182
Astragalus_tyghensis,-121.3166666667,45.1666666667,2.2381010855
Astragalus_tyghensis,-121.3166666667,45.1666666667,2.6173520178
Astragalus_tyghensis,-121.3166666667,45.15,2.6959499779
Astragalus_tyghensis,-121.1833333333,45.2333333333,2.6783859576
Astragalus_tyghensis,-121.1,45.25,4.0850106973
Borderea_chouardii,0.9056611111,41.5976277778,1.2096156865
Bouteloua_rigidiseta,-98.4166666667,30.0833333333,4.0812238693
